MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
318	0.07	0.61
319	0.13	0.59
320	0.15	0.59
321	0.09	0.55
322	0.11	0.57
323	0.1	0.61
324	0.05	0.62
325	0.1	0.61
326	0.1	0.61
327	0.1	0.59
328	0.13	0.62
329	0.13	0.62
330	0.06	0.61
331	0.07	0.57
332	0.08	0.6
333	0.09	0.58
334	0.13	0.6
335	0.08	0.59
336	0.09	0.65
337	0.12	0.65
338	0.1	0.58
339	0.11	0.6
340	0.16	0.56
341	0.1	0.57
342	0.09	0.62
343	0.13	0.59
344	0.1	0.58
345	0.08	0.58
346	0.09	0.64
347	0.07	0.56
348	0.1	0.64
349	0.09	0.59
350	0.13	0.59
351	0.07	0.61
352	0.15	0.61
353	0.11	0.58
354	0.1	0.59
355	0.14	0.62
356	0.15	0.63
357	0.11	0.64
358	0.1	0.58
359	0.1	0.62
360	0.08	0.62
361	0.09	0.59
362	0.11	0.6
363	0.1	0.6
364	0.13	0.63
365	0.11	0.6
366	0.09	0.62
367	0.15	0.63
368	0.11	0.62
369	0.12	0.69
370	0.13	0.63
371	0.09	0.57
372	0.12	0.6
373	0.1	0.56
374	0.09	0.63
375	0.09	0.62
376	0.09	0.58
377	0.1	0.59
378	0.09	0.65
379	0.09	0.58
380	0.12	0.61
381	0.08	0.64
382	0.13	0.6
383	0.1	0.63
384	0.06	0.58
385	0.1	0.58
386	0.08	0.59
387	0.11	0.61
388	0.08	0.55
389	0.11	0.62
390	0.08	0.64
391	0.16	0.62
392	0.1	0.61
393	0.12	0.62
394	0.08	0.58
395	0.11	0.62
396	0.11	0.62
397	0.12	0.61
398	0.11	0.55
399	0.09	0.61
400	0.14	0.61
401	0.09	0.64
402	0.1	0.62
403	0.08	0.62
404	0.13	0.64
405	0.1	0.6
406	0.1	0.61
407	0.12	0.6
408	0.13	0.6
409	0.1	0.63
410	0.09	0.61
411	0.06	0.56
412	0.1	0.64
413	0.1	0.6
414	0.11	0.6
415	0.11	0.62
416	0.06	0.67
417	0.12	0.62
418	0.1	0.65
419	0.1	0.58
420	0.06	0.61
421	0.11	0.63
422	0.11	0.62
423	0.06	0.63
424	0.09	0.59
425	0.12	0.59
426	0.08	0.62
427	0.09	0.58
428	0.1	0.6
429	0.1	0.6
430	0.08	0.64
431	0.07	0.61
432	0.06	0.6
433	0.13	0.61
434	0.1	0.62
435	0.15	0.64
436	0.13	0.59
437	0.13	0.66
438	0.1	0.63
439	0.08	0.63
440	0.1	0.59
441	0.1	0.58
442	0.09	0.63
443	0.13	0.58
444	0.09	0.63
445	0.08	0.66
446	0.08	0.59
447	0.08	0.65
448	0.1	0.56
449	0.1	0.6
450	0.1	0.62
451	0.11	0.61
452	0.12	0.62
453	0.08	0.63
454	0.12	0.61
455	0.1	0.62
456	0.12	0.65
457	0.1	0.63
458	0.09	0.57
459	0.11	0.63
460	0.11	0.6
461	0.11	0.59
462	0.1	0.6
463	0.13	0.62
464	0.14	0.6
465	0.09	0.65
466	0.1	0.64
467	0.15	0.62
468	0.09	0.6
469	0.09	0.62
470	0.13	0.6
471	0.08	0.61
472	0.07	0.62
473	0.09	0.62
474	0.1	0.62
475	0.08	0.64
476	0.08	0.62
477	0.12	0.62
478	0.11	0.62
479	0.09	0.61
480	0.13	0.54
481	0.11	0.65
482	0.1	0.59
483	0.14	0.6
484	0.09	0.59
485	0.1	0.6
486	0.12	0.61
487	0.09	0.61
488	0.09	0.63
489	0.12	0.6
490	0.14	0.58
491	0.11	0.58
492	0.1	0.58
493	0.08	0.6
494	0.1	0.59
495	0.1	0.6
496	0.11	0.63
497	0.12	0.61
498	0.12	0.6
499	0.1	0.6
500	0.09	0.6
501	0.1	0.62
502	0.07	0.62
503	0.08	0.67
504	0.12	0.57
505	0.11	0.62
506	0.1	0.6
507	0.11	0.66
508	0.11	0.59
509	0.1	0.59
510	0.11	0.63
511	0.11	0.63
512	0.1	0.64
513	0.09	0.58
514	0.1	0.63
515	0.07	0.58
516	0.1	0.59
517	0.12	0.62
518	0.11	0.61
519	0.1	0.63
520	0.1	0.63
521	0.13	0.62
522	0.1	0.65
523	0.11	0.6
524	0.09	0.61
525	0.11	0.63
526	0.11	0.6
527	0.08	0.59
528	0.12	0.62
529	0.1	0.59
530	0.08	0.58
531	0.07	0.59
532	0.11	0.6
533	0.1	0.58
534	0.09	0.62
535	0.12	0.59
536	0.1	0.62
537	0.13	0.6
538	0.09	0.61
539	0.11	0.6
540	0.1	0.6
541	0.11	0.59
542	0.09	0.62
543	0.1	0.59
544	0.09	0.66
545	0.12	0.62
546	0.12	0.63
547	0.09	0.61
548	0.11	0.61
549	0.09	0.61
550	0.1	0.61
551	0.09	0.63
552	0.08	0.63
553	0.09	0.6
554	0.09	0.56
555	0.11	0.63
556	0.09	0.56
557	0.1	0.61
558	0.12	0.61
559	0.09	0.61
560	0.13	0.61
561	0.1	0.67
562	0.13	0.59
563	0.09	0.57
564	0.1	0.58
565	0.11	0.59
566	0.12	0.62
567	0.12	0.59
568	0.07	0.62
569	0.1	0.62
570	0.09	0.61
571	0.1	0.59
572	0.11	0.6
573	0.13	0.6
574	0.06	0.59
575	0.11	0.61
