MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
318	0.24	1.0
319	0.24	1.0
320	0.16	1.0
321	0.18	1.0
322	0.26	1.0
323	0.2	1.0
324	0.24	1.0
325	0.22	1.0
326	0.16	1.0
327	0.18	1.0
328	0.18	1.0
329	0.26	1.0
330	0.26	1.0
331	0.22	1.0
332	0.22	1.0
333	0.22	1.0
334	0.22	1.0
335	0.16	1.0
336	0.18	1.0
337	0.28	1.0
338	0.2	1.0
339	0.18	1.0
340	0.28	1.0
341	0.2	1.0
342	0.24	1.0
343	0.22	1.0
344	0.2	1.0
345	0.14	1.0
346	0.26	1.0
347	0.26	1.0
348	0.16	1.0
349	0.2	1.0
350	0.22	1.0
351	0.16	1.0
352	0.22	1.0
353	0.22	1.0
354	0.22	1.0
355	0.18	1.0
356	0.28	1.0
357	0.26	1.0
358	0.16	1.0
359	0.24	1.0
360	0.22	1.0
361	0.22	1.0
362	0.26	1.0
363	0.24	1.0
364	0.26	1.0
365	0.28	1.0
366	0.22	1.0
367	0.22	1.0
368	0.22	1.0
369	0.28	1.0
370	0.26	1.0
371	0.24	1.0
372	0.22	1.0
373	0.22	1.0
374	0.2	1.0
375	0.24	1.0
376	0.2	1.0
377	0.18	1.0
378	0.28	1.0
379	0.28	1.0
380	0.2	1.0
381	0.22	1.0
382	0.24	1.0
383	0.22	1.0
384	0.26	1.0
385	0.16	1.0
386	0.22	1.0
387	0.24	1.0
388	0.22	1.0
389	0.12	1.0
390	0.22	1.0
391	0.22	1.0
392	0.26	1.0
393	0.22	1.0
394	0.32	1.0
395	0.2	1.0
396	0.28	1.0
397	0.24	1.0
398	0.32	1.0
399	0.2	1.0
400	0.2	1.0
401	0.28	1.0
402	0.18	1.0
403	0.3	1.0
404	0.22	1.0
405	0.26	1.0
406	0.3	1.0
407	0.18	1.0
408	0.26	1.0
409	0.18	1.0
410	0.26	1.0
411	0.2	1.0
412	0.2	1.0
413	0.22	1.0
414	0.24	1.0
415	0.26	1.0
416	0.24	1.0
417	0.24	1.0
418	0.26	1.0
419	0.22	1.0
420	0.28	1.0
421	0.18	1.0
422	0.28	1.0
423	0.24	1.0
424	0.2	1.0
425	0.38	1.0
426	0.28	1.0
427	0.22	1.0
428	0.2	1.0
429	0.2	1.0
430	0.18	1.0
431	0.24	1.0
432	0.28	1.0
433	0.24	1.0
434	0.26	1.0
435	0.3	1.0
436	0.24	1.0
437	0.2	1.0
438	0.24	1.0
439	0.34	1.0
440	0.26	1.0
441	0.22	1.0
442	0.26	1.0
443	0.26	1.0
444	0.22	1.0
445	0.26	1.0
446	0.26	1.0
447	0.24	1.0
448	0.16	1.0
449	0.3	1.0
450	0.26	1.0
451	0.24	1.0
452	0.26	1.0
453	0.22	1.0
454	0.28	1.0
455	0.22	1.0
456	0.24	1.0
457	0.22	1.0
458	0.22	1.0
459	0.2	1.0
460	0.3	1.0
461	0.14	1.0
462	0.26	1.0
463	0.2	1.0
464	0.24	1.0
465	0.18	1.0
466	0.22	1.0
467	0.18	1.0
468	0.28	1.0
469	0.26	1.0
470	0.26	1.0
471	0.26	1.0
472	0.2	1.0
473	0.28	1.0
474	0.28	1.0
475	0.24	1.0
476	0.24	1.0
477	0.32	1.0
478	0.22	1.0
479	0.28	1.0
480	0.26	1.0
481	0.26	1.0
482	0.26	1.0
483	0.3	1.0
484	0.26	1.0
485	0.22	1.0
486	0.26	1.0
487	0.2	1.0
488	0.22	1.0
489	0.22	1.0
490	0.22	1.0
491	0.28	1.0
492	0.26	1.0
493	0.24	1.0
494	0.2	1.0
495	0.24	1.0
496	0.2	1.0
497	0.22	1.0
498	0.24	1.0
499	0.18	1.0
