MTry	OverlapUnsupRfPlink	OverlapSupRfPlink
1	0.17777777777777778	0.6
2	0.022222222222222223	0.6
3	0.0	0.6
4	0.0	0.5777777777777777
5	0.0	0.6666666666666666
6	0.0	0.6
7	0.022222222222222223	0.6666666666666666
8	0.0	0.6
9	0.022222222222222223	0.6222222222222222
10	0.0	0.6222222222222222
11	0.022222222222222223	0.6222222222222222
12	0.0	0.6666666666666666
13	0.022222222222222223	0.6222222222222222
14	0.022222222222222223	0.6666666666666666
15	0.022222222222222223	0.6444444444444445
16	0.0	0.6
17	0.0	0.6666666666666666
18	0.022222222222222223	0.6444444444444445
19	0.044444444444444446	0.6888888888888889
20	0.0	0.6444444444444445
21	0.044444444444444446	0.6444444444444445
22	0.0	0.6222222222222222
23	0.0	0.6222222222222222
24	0.13333333333333333	0.6888888888888889
25	0.022222222222222223	0.6444444444444445
26	0.0	0.6666666666666666
27	0.022222222222222223	0.6444444444444445
28	0.022222222222222223	0.6666666666666666
29	0.044444444444444446	0.6222222222222222
30	0.022222222222222223	0.6222222222222222
31	0.0	0.6666666666666666
32	0.044444444444444446	0.6888888888888889
33	0.022222222222222223	0.6666666666666666
34	0.022222222222222223	0.6666666666666666
35	0.022222222222222223	0.6222222222222222
36	0.022222222222222223	0.6444444444444445
37	0.022222222222222223	0.6666666666666666
38	0.022222222222222223	0.6666666666666666
39	0.06666666666666667	0.6888888888888889
40	0.06666666666666667	0.6444444444444445
41	0.044444444444444446	0.6666666666666666
42	0.022222222222222223	0.6444444444444445
43	0.044444444444444446	0.6888888888888889
44	0.06666666666666667	0.6666666666666666
45	0.044444444444444446	0.6666666666666666
46	0.022222222222222223	0.6888888888888889
47	0.022222222222222223	0.6888888888888889
48	0.08888888888888889	0.6666666666666666
49	0.0	0.7111111111111111
50	0.06666666666666667	0.6666666666666666
51	0.06666666666666667	0.6666666666666666
52	0.0	0.7111111111111111
53	0.044444444444444446	0.6888888888888889
54	0.044444444444444446	0.7111111111111111
55	0.06666666666666667	0.7111111111111111
56	0.022222222222222223	0.6888888888888889
57	0.044444444444444446	0.7111111111111111
58	0.044444444444444446	0.6888888888888889
59	0.06666666666666667	0.6888888888888889
60	0.022222222222222223	0.6888888888888889
61	0.06666666666666667	0.6888888888888889
62	0.0	0.7111111111111111
63	0.044444444444444446	0.6888888888888889
64	0.022222222222222223	0.7111111111111111
65	0.06666666666666667	0.7111111111111111
66	0.0	0.7111111111111111
67	0.044444444444444446	0.6888888888888889
68	0.022222222222222223	0.6888888888888889
69	0.15555555555555556	0.7111111111111111
70	0.044444444444444446	0.7111111111111111
71	0.044444444444444446	0.7111111111111111
72	0.0	0.7111111111111111
73	0.06666666666666667	0.7111111111111111
74	0.044444444444444446	0.7111111111111111
75	0.06666666666666667	0.7111111111111111
76	0.0	0.7111111111111111
77	0.06666666666666667	0.6888888888888889
78	0.022222222222222223	0.7111111111111111
79	0.1111111111111111	0.7111111111111111
80	0.044444444444444446	0.7111111111111111
81	0.044444444444444446	0.7111111111111111
82	0.044444444444444446	0.7111111111111111
83	0.06666666666666667	0.7111111111111111
84	0.0	0.7111111111111111
85	0.06666666666666667	0.7111111111111111
86	0.022222222222222223	0.7111111111111111
87	0.022222222222222223	0.7111111111111111
88	0.044444444444444446	0.7111111111111111
89	0.08888888888888889	0.7111111111111111
90	0.08888888888888889	0.7111111111111111
91	0.0	0.7111111111111111
92	0.022222222222222223	0.7111111111111111
93	0.06666666666666667	0.7111111111111111
94	0.0	0.7111111111111111
95	0.044444444444444446	0.7111111111111111
96	0.044444444444444446	0.7111111111111111
97	0.022222222222222223	0.7111111111111111
98	0.06666666666666667	0.7111111111111111
99	0.08888888888888889	0.7111111111111111
100	0.022222222222222223	0.7111111111111111
101	0.044444444444444446	0.7111111111111111
102	0.044444444444444446	0.7111111111111111
103	0.06666666666666667	0.7111111111111111
104	0.022222222222222223	0.7111111111111111
105	0.044444444444444446	0.7111111111111111
106	0.044444444444444446	0.7111111111111111
107	0.06666666666666667	0.7111111111111111
